date,time,wx_rain15,wx_rh15,wx_vappress15,wx_tempavg15,wx_par_den15,wx_maxws15
20220501,00:00:00,0,83.1,12.055,12.83,0,4.92
20220501,01:00:00,0,84.5,11.358,12.05,0,3.79
20220501,02:00:00,0,88.2,11.548,11.26,0,2.88
20220501,03:00:00,0,88.7,11.677,11.11,0,1.69
20220501,04:00:00,0,89.2,12.322,12.03,0,3.09
20220501,05:00:00,0,86.7,12.488,12.12,0.199,2.67
20220501,06:00:00,0,88.6,12.013,11.32,25.83,1.81
20220501,07:00:00,0,83.7,12.775,12.78,105.3,2.59
20220501,08:00:00,0,81,12.942,14.06,122.1,3.8
20220501,09:00:00,0,77.7,13.393,14.49,171.7,4.66
20220501,10:00:00,0,73.1,13.057,15.27,305,5.04
20220501,11:00:00,0,63.3,12.44,16.62,538.6,5.53
20220501,12:00:00,0,54.2,11.918,17.51,864,7.28
20220501,13:00:00,0,46,10.168,18.09,749.1,9.43
20220501,14:00:00,0,49,10.507,18.35,586.9,7.6
20220501,15:00:00,0,51,10.23,17.74,214.5,5.83
20220501,16:00:00,0.136,60.9,11.575,17.01,218.1,4.87
20220501,17:00:00,0,58.2,12.227,18.54,272.5,6.54
20220501,18:00:00,0,60.6,12.117,18.35,96.9,6.11
20220501,19:00:00,0.034,63.1,12.017,16.59,9.29,5.76
20220501,20:00:00,0,64.2,10.872,15.17,0.171,5.88
20220501,21:00:00,0,72.3,10.943,14.27,0,5.16
20220501,22:00:00,0,78.7,11.86,13.81,0,4.48
20220501,23:00:00,0,86.3,13.285,13.99,0,3.79
20220502,00:00:00,0,90.6,14.67,14.49,0,2.29
20220502,01:00:00,0,94.2,16.568,15.64,0,4.02
20220502,02:00:00,0,96.5,17.535,16.23,0,4.1
20220502,03:00:00,0,94.3,17.825,16.44,0,3.65
20220502,04:00:00,0,95.1,17.748,16.51,0,3.1
20220502,05:00:00,0,94.9,17.668,16.48,0.176,2.28
20220502,06:00:00,0,97.7,17.23,15.74,21.06,1.99
20220502,07:00:00,0,94,16.97,15.57,118.2,2.22
20220502,08:00:00,0,93.6,16.755,15.6,155.2,3.08
20220502,09:00:00,0,87.6,16.898,16.29,330.9,4.02
20220502,10:00:00,0,78.2,17.78,18.6,912,4.56
20220502,11:00:00,0,69.4,17.415,19.78,1075,5.73
20220502,12:00:00,0,70.4,16.853,20.6,1131,5.71
20220502,13:00:00,0,59.7,16.153,21.75,1135,6.3
20220502,14:00:00,0,49.1,14.845,23,1064,5.42
20220502,15:00:00,0,43.6,13.887,24.46,922,5.04
20220502,16:00:00,0,34.2,13.263,25.1,724.3,4.25
20220502,17:00:00,0,34.9,11.63,25.62,485.8,2.17
20220502,18:00:00,0,45.7,12.925,25.26,241.2,3.09
20220502,19:00:00,0,63.4,15.473,22.54,51.18,3.29
20220502,20:00:00,0,69.6,15.257,19.58,0.435,0.9
20220502,21:00:00,0,80.5,14.927,17.32,0.001,0.84
20220502,22:00:00,0,80.5,15.098,16.54,0,1.36
20220502,23:00:00,0,85,14.883,15.43,0,1.21
20220503,00:00:00,0,89.8,15.503,16.2,0,1.42
20220503,01:00:00,0,91.5,15.532,15.07,0,1.14
20220503,02:00:00,0,94.6,15.138,14.19,0,1.09
20220503,03:00:00,0,97.7,16.062,14.8,0,4.45
20220503,04:00:00,0,97.8,17.203,15.47,0,5.77
20220503,05:00:00,0,96.8,16.385,14.81,0.091,5.18
20220503,06:00:00,0,96.2,14.847,13.38,10.24,6.47
20220503,07:00:00,0,94.5,14.807,13.5,65.51,6.96
20220503,08:00:00,0,87.8,14.97,14.26,316.1,5.92
20220503,09:00:00,0,79.8,15.19,15.79,709.7,6.09
20220503,10:00:00,0,73,15.192,17.45,919,5.91
20220503,11:00:00,0,69.9,15.437,19.05,1046,5.26
20220503,12:00:00,0,64.3,15.752,20.54,1123,6.9
