plot,date,time,mn_shallow,sd_shallow,n_shallow,mn_deep,sd_deep,n_deep
Transition,20220501,00:00:00,0.422,0.045,8,0.404,0.025,4
Transition,20220501,01:00:00,0.421,0.043,16,0.403,0.023,8
Transition,20220501,02:00:00,0.421,0.043,16,0.404,0.023,8
Transition,20220501,03:00:00,0.421,0.043,16,0.403,0.023,8
Transition,20220501,04:00:00,0.421,0.043,16,0.403,0.023,8
Transition,20220501,05:00:00,0.421,0.043,16,0.403,0.023,8
Transition,20220501,06:00:00,0.421,0.042,16,0.403,0.023,8
Transition,20220501,07:00:00,0.42,0.042,16,0.403,0.023,8
Transition,20220501,08:00:00,0.42,0.043,16,0.403,0.023,8
Transition,20220501,09:00:00,0.42,0.042,16,0.404,0.023,8
Transition,20220501,10:00:00,0.42,0.041,16,0.403,0.023,8
Transition,20220501,11:00:00,0.419,0.041,16,0.403,0.023,8
Transition,20220501,12:00:00,0.418,0.04,16,0.403,0.023,8
Transition,20220501,13:00:00,0.418,0.041,16,0.403,0.023,8
Transition,20220501,14:00:00,0.418,0.04,16,0.403,0.023,8
Transition,20220501,15:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220501,16:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220501,17:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220501,18:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220501,19:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220501,20:00:00,0.417,0.039,16,0.403,0.023,8
Transition,20220501,21:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220501,22:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220501,23:00:00,0.417,0.04,16,0.403,0.024,8
Transition,20220502,00:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220502,01:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220502,02:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220502,03:00:00,0.417,0.04,16,0.403,0.023,8
Transition,20220502,04:00:00,0.417,0.04,16,0.403,0.023,8
